_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:30.454Z,Inactive,null,null,null,Ch XI/ General App & Condition- (Internal Spaces),Riyadh MOU,null,United Arab Emirates,null,3,1,null,null,null,9288497,Fleet C,03-02-23,PSC,Baraa Ahamed,Ajith Kumar,Paurush Kumar Singh,"Indian, Sri Lankan",Died insects were notd inside seteral ligjt corers,Wilson,Q1 - 2023,Mina zayed,null,0,3127,0,AM Ocean Silver Ltd.,10,23PSC014,null,null,null,null,null,Umesh Iyengar,Vinod,22-02-25,AM Ocean Silver,Bulk Carrier,TSUNEISHI SHIP BUILDING CO. LTD.,null,19.41,null,null,null,Dry,Bulk Carrier,Marshall Islands,Toko Kaiun,null,SMSL
2025-04-29T12:09:30.5Z,Active ,null,null,null,NA,USCG,NA,United States of America,null,0,0,null,null,NA,9943580,Fleet C,29-03-23,PSC ,Michael Varichione,Ajith Kumar,Shi li Qiang,Chinese,NA,SUMEC,Q1 - 2023,Charleston,null,0,NA,0,Tianjin Heysea-X Leasing Limited ,NA,23PSC042,null,null,null,null,NA,Umesh Iyengar,Karthick Nair,17-05-24,CL Luzhou,Bulk Carrier,"Nantong ,China",null,2.37,null,null,null,Dry,Bulk Carrier,Marshall Islands,Sumec Ocean Transportation Pte Ltd,null,SMSL
2025-04-29T12:09:30.503Z,Active ,null,null,null,"Ch V/Safety Management- (Drills, Training and Familiarization)",Paris MOU,null,Greece,null,null,1,null,null,null,9364277,Fleet D,24-04-23,PSC,Lieutenant HCG Nezis Dimitrios,Ajith Kumar,Neeraj Arya,Filipino,Onboard Training and instructions:The information /Instructions regarding the opertaion of life saving and fire fighting applianes that LSA and FFE training manual include are insufficient,Navios ,Q2 - 2023,Kalamata,null,Life saving appliances,11131,On board training and instructions,IRIS Shipping Corporation,16,23PSC053,null,null,null,null,null,Raju Kalidindi,Prabodh,11-08-24,N Amalthia,Bulk Carrier,"UNIVERSAL SHIPBUILDING CORPORATION, MAIZURU SHIPYA",null,18.47,null,null,null,Dry,Bulk Carrier,Panama,Navios,null,SMSL
2025-04-29T12:09:30.505Z,Active,null,null,null,NA,Abuja MOU,NA,Nigeria,null,0,0,null,null,NA,9224324,Fleet B,10-06-23,PSC ,Joseph zamani,Ravi Sekhar ,Melroy Roy,"Korean, Indian, Filipino",NA,Sinokor,Q2 - 2023,Lagos,null,0,NA,0,Rotterdam Bridge 2 S.A,NA,23PSC071,null,null,null,null,NA,Rajesh Inigo,Yogananth,12-10-23,Rotterdam Bridge,Container,"Samsung Heavy Industries Geoje, R.O Korea",null,23.5,null,null,null,Dry,Container,Marshall Islands,Sinokor,null,SMSL
2025-04-29T12:09:30.505Z,Active,null,null,null,NA,Abuja MOU,NA,Guinea,null,0,0,null,null,NA,9799771,Fleet E,12-06-23,PSC ,Barry Molour oulen,Ravi Sekhar ,Neeraj Arya,"Indian, Filipino",NA,Cobelfret,Q2 - 2023,Conakry,null,0,NA,0,Cobelfret Pte. Ltd.,NA,23PSC072,null,null,null,null,NA,Balji V,Balji V,01-06-24,LowLands Future,Bulk Carrier,"OSHIMA SHIPYARD, JAPAN",null,7.86,null,null,null,Dry,Bulk Carrier,Singapore,CLDN Cobelfret Pte Ltd,null,SMSL
2025-04-29T12:09:30.534Z,Active,null,null,null,NA,Riyadh MOU,NA,Saudi Arabia,null,0,0,null,null,NA,9522661,Fleet C,18-07-23,PSC ,Capt .Mohammed rashed,Ravi Sekhar ,Paurush Kumar Singh,Chinese,NA,Sinokor,Q3 - 2023,Al Jubail,null,0,NA,0," XIANG  B14 HK International Ship Lease Co., Limited",NA,23PSC086,null,null,null,null,NA,Umesh Iyengar,Feng Yong,16-05-24,Pacific East,Bulk Carrier,"Shanghai waigaoqiao shipbuilding. CO.,LTD",null,12.77,null,null,null,Dry,Bulk Carrier,Marshall Islands,Sinokor,null,SMSL
2025-04-29T12:10:05.721Z,Active ,null,Safety Management ,null,Ch V/Safety Management- (Firefighting equipment),Tokyo MOU,null,China,null,null,1,null,null,null,9860879,SOMI ,27-04-23,null,Tian Dachun / Peng Jinjin ,Daniel Lindo,Than Van Tinh ,Filipinos,The valves from main fire pump to emergency fire pump and accommodation space not keep closed as per operation notice in control station,NISSEN Kaiun KK,Q2 - 2023,Zhoushan,null,Fire safety,7113,Fire pumps and its pipes,"Kyowa Kisen co., Ltd (99%) & Green Spanker Shipping S.A (1%) ",17,2023SOMIPSC016,null,null,null,null,null,null,John Paul Zorilla,01-05-25,Mia LR,Bulk Carrier,"Tsuneshi Shipyard, Cebu",null,5.48,null,Safety Management ,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SOMI
2025-04-29T12:10:05.721Z,In Active,null,Safety Management ,null,Ch V/Safety Management- (Lifesaving Equipment),Tokyo MOU,null,Singapore,null,null,1,null,null,null,9604976,SOMI ,03-05-23,null,Muhammad Danial ,Daniel Lindo ,Bryan C. Gutierrez,Filipinos,"Both port and starboard bridge wing, man overboard lifebuoys rope attached to light found substantially frayed at time of inspection.",NISSEN Kaiun KK,Q2 - 2023,Singapore,null,Life saving appliances,11117,Lifebuoys incl. provision and disposition,Southern Route Maritime S.A,17,2023SOMIPSC017,null,null,null,null,null,null,John Paul Zorilla,09-07-24,Frontier Unity,Bulk Carrier,"Imabari, Hiroshima ",null,13.17,null,Safety Management ,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SOMI
2025-04-29T12:10:05.762Z,Active ,null,NA,null,Na,USCG,Na,United States of America,null,0,0,null,null,Na,9431185,SOMI ,08-05-24,null,Sian Shields ,Daniel Lindo ,Japri Torlao ,Filipinos,Nil findings,NISSEN Kaiun KK,Q2 - 2024,Norfolk ,null,,null,,Southern Route Maritime S.A ,null,2024SOMIPSC020,null,null,null,null,Na,null,Benjie Alajid ,01-05-25,Bellevue,Bulk Carrier,Sanoyas ,null,13.84,null,Na,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SOMI
2025-04-29T12:10:05.759Z,Active ,null,General Appearance and Condition,null,Ch XI/ General App & Condition-  (Structural Condition),Paris MoU,null,Slovenia,null,1,1,null,null,null,9431185,SOMI ,02-02-24,null,Sandro Gasparini,Daniel Lindo ,Japri Torlao ,Filipinos,Superstructure windows in general not properly maintained. Windows outer frames heavily corroded.,NISSEN Kaiun KK,Q1 - 2024,Koper,null,r or weather-tight conditions,3106,"Windows, sidescuttles and deadlights",Southern Route Maritime S.A ,16,2024SOMIPSC006,null,null,null,null,null,null,Benjie Alajid ,01-05-25,Bellevue,Bulk Carrier,Sanoyas ,null,13.84,null,Engine & Steering Compartments ,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SOMI
2025-04-29T12:10:05.636Z,Active ,NA,NA,null,Na,Tokyo MOU,Na,Vietnam,null,0,0,null,null,Na,9582996,SOMI,10-03-22,null,"Pham Quang Hung, Nguyen Quang Thanh",Daniel Lindo,Bryan C. Gutierrez,Filipinos,Nil findings,NISSEN Kaiun KK,Q1 - 2022,Cam Pha,NA,,null,,Southern Route Maritime S.A,null,2022SOMIPSC013,null,null,null,null,Na,null,Kim Gil,01-05-25,Dream Star,Bulk Carrier,Tsuneshi Shipyard,null,11.09,null,Na,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SOMI
2025-04-29T12:10:05.762Z,Active ,null,NA,null,Na,Paris MoU,Na,Netherlands,null,0,0,null,null,Na,9861794,SOMI ,17-04-24,null,Vincent Verhoeven,Daniel Lindo ,Jeffrey Parreño,Filipinos,Nil findings,Grace Ocean Pte Ltd,Q2 - 2024,Rotterdam,null,,null,,Grace Ocean Private Limited ,null,2024SOMIPSC018,null,null,null,null,Na,null,Ark A. Puguon,01-05-25,Lady Wynn,Bulk Carrier,"Japan Marine United Corporation, Tsu Shipyard ",null,5,null,Na,null,Dry,Bulk Carrier,Singapore,Grace Ocean Pte Ltd,null,SOMI
2025-04-29T12:10:05.795Z,Active,null,NA,null,NA,Tokyo MoU,NA,China ,null,0,0,null,null,NA,9870460,SOMI ,05-03-25,null,GR Ye ,Daniel Lindo ,Tran The Chinh,Vietnamese,Nil ,Grace Ocean Pte Ltd,Q1 - 2025,Hong Kong,null,0,null,0,Grace Ocean Private Limited ,null,2025PSC012,null,null,null,null,NA,null,Thanh Nguyen Duc ,01-05-25,Aom Federica,Bulk Carrier,Jiangsu Yangzi-MitsuiShipbuilding Co. Ltd. ,null,4.87,null,NA,null,Dry,Bulk Carrier,Singapore,Grace Ocean Pte Ltd,null,SOMI
2025-04-29T12:10:19.364Z,null,null,null,null,N/A,Tokyo MoU,null,Vietnam,null,0,0,null,null,null,9972452,null,18-12-23,PSC,"Tran Huu Dong,Truong Ngoc Chau",Capt.Anoj Kumar Sarma,Capt. Reynold Deepak,Chinese,NIL,Nisshin Shipping Co Ltd,Q4 - 2023,Vungang,null,null,null,null,Safemarine Corporation S.A.,null,PSC202303,null,null,null,null,null,Anish Balakrishnan,Nuwan Jayasuriya,01-05-25,Eva Global,Bulk Carrier,Jiangmen Nanyang,null,null,null,null,null,Dry,Bulk Carrier,Panama,Nisshin Shipping Co Ltd,No,CSMI
2025-04-29T12:09:38.901Z,null,null,null,null,Ch X/ Engine & Steering Compartment- (Loose Gears),Paris MOU, ,Canada,null,null,1,null,null, ,9953315,null,22-08-24,PSC ,"Pasricha, Ravinder",Ravi Sekhar ,Paurush Kumar Singh,Chinese,"Other (Health Protection, medical care) 

(No Records for the slings maintenance/testing available and are not identified.) ",Sumec,Q3-2024,Vancouver,null,"Other (health protection, medical care, social security)",18499,"Labour Conditions - Health protection, medical care, social security",CL Xiangtan Limited,16,24PSC0101,null,null,null,null, ,Umesh Iyengar,Sanjeev Kumar Sibal,01-05-25,CL Xiangtan,Bulk Carrier,"New Dayang Shipbuilding Co., Ltd",null,null,null,null,null,Dry,Bulk Carrier,Hong Kong,Sumec Ocean Transportation Pte Ltd,null,SMBL
2025-04-29T12:09:38.922Z,null,null,null,null,null,Asia Pacific Region , ,Vietnam,null,0,0,null,null, ,9967134,null,20-03-25,PSC,Dinh Van Dung -Vu Dinh Quy - Trinh Dinh Thi,Ravi Sekhar ,Xiuming Dai,"Master -  Indian                              Crew - Indian, Filipino, Vietnamese",NA,Sumec,Q1-2025,"Thanh Hoa,",null,,null,,HUAXIA SHENGXU (TIANJIN) LEASING CO LTD.  ,null,25PSC035,null,null,null,null, ,Umesh Iyengar,Ning Fangcun,01-05-25,Ocean Diligence,Bulk Carrier,"Chengxi Shipyard Co., Ltd ",null,null,null,null,null,Dry,Bulk Carrier,Marshall Islands,Sumec Ocean Transportation Pte Ltd,null,SMBL
2025-04-29T12:09:00.261Z,null,null,null,null,null,Paris MoU,null,Italy,null,null,1,null,null,null,9427122,null,13-12-24,PSC,Antonio Boi,Vikram Viswanathan,Rengarajan Gopal,null,Two Fire doors Class A self Closing found blocked in open position by means of blocking.,Wisdom Marine Group,Q4 - 2024,Cagliari,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,null,10,2024PSC532,null,null,null,null,null,Vinod Mittal,Anbuselvan Thangavel,01-05-25,Paiwan Wisdom,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:09:00.103Z,null,null,null,null,null,Paris MoU,null,Germany,null,null,1,null,null,null,9656400,null,19-11-24,PSC,Torsten Luecke,Vikram Viswanathan,Lakshmi Naryanan Rajendran,null,Several single way valves for drainage pipes of hatch coaming stucked in open postion. Some toggles of ventilation flap on cargo hold covers missing.,Wisdom Marine Group,Q4 - 2024,Brake,null,Water/Weathertight condition,3108,"Ventilators, air pipes, casings",null,30,2024PSC491,null,null,null,null,null,Vinod Mittal,Gaurav singh Rajput,01-05-25,Sakizaya ACE,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:09:00.104Z,null,null,null,null,null,Paris MoU,null,Germany,null,null,1,null,null,null,9656400,null,19-11-24,PSC,Torsten Luecke,Vikram Viswanathan,Lakshmi Naryanan Rajendran,null,"Found Sanitary rooms in outworn condition: tiles broken or misplaced, broken holders for shower head, moulded  ceilings, rusted door frames..",Wisdom Marine Group,Q4 - 2024,Brake,null,"Accommodation, recreational facilities, food and catering",18302,Sanitary facilities,null,30,2024PSC491,null,null,null,null,null,Vinod Mittal,Gaurav singh Rajput,01-05-25,Sakizaya ACE,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:09:00.155Z,null,null,null,null,null,Abuja MoU,null,Ivory Coast,null,0,0,null,null,null,9768033,null,22-11-24,PSC,Traore Mamadou,Vikram Viswanathan,Lakshmi Naryanan  Rajendran,null,Nil Findings,Wisdom Marine Group,Q4 - 2024,Abidjan,null,,null,,null,null,2024PSC501,null,null,null,null,null,Nandagopal,Rinu Mon Kurian,01-05-25,Bunun kalon,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:59.961Z,null,null,null,null,null,Vina del Mar,null,Brazil,null,4,1,null,null,null,9361249,null,25-10-24,PSC,Claudia F Ellery,Gurusher Bahadur Singh,Harsh Kapoor,null,Emergency Generator quickly close valve out of order,null,Q4 - 2024,Ponta da Madeira,null,Emergency Systems,4114,Emergency source of power - Emergency generator,null,17,2024PSC447,null,null,null,null,null,Sivakumar Natarajan ,George Kurian,01-05-25,Genco Augustus,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,SMPL
2025-04-29T12:08:59.013Z,null,null,null,null,null,Tokyo MOU,null,South Korea,null,null,1,null,null,null,9536155,null,24-07-24,PSC,"Jang H. J , Lee S. H",Gurusher Bahadur Singh,Vikram Krishnan,null,Ballast water tank total quantity of ballast water record book not matched with ballast water management plan.,null,Q3 - 2024,Incheon,null,Pollution Prevention – Ballast Water,14802,Ballast Water Record Book,null,99,2024PSC321,null,null,null,null,null,Sivakumar Natarajan ,Kunal Gautam,27-02-25,Nord Energy,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Denmark,Norden Asset Management A/S,null,SMPL
2025-04-29T12:08:58.989Z,null,null,null,null,null,Tokyo MoU,null,China,null,null,1,null,null,null,9537848,null,05-07-24,PSC ,"Wangyan, Jingpengfei",Gurusher Bahadur Singh,Vikram Krishnan,null,The fixed water-mist system failed to test during inspection.,null,Q3 - 2024,Ningbo,null,Fire safety,7109,Fixed fire extinguishing installation,null,17,2024PSC292,null,null,null,null,null,Sivakumar Natarajan ,null,18-03-25,Nord Power,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Denmark,Norden Asset Management A/S,null,SMPL
2025-04-29T12:08:58.987Z,null,null,null,null,null,Tokyo MoU,null,Japan,null,null,1,null,null,null,9529516,null,02-07-24,PSC ,Beppu ,Gurusher Bahadur Singh,Vikram Krishnan,null,"Lifelimes of lifebuoys on poop deck (Both sides)-Not correct type according to AOLAS regulation (Kin King Type and tiger stripes, This one is usually used for “Keep Out” In Japan) )",null,Q3 - 2024,Kurashiki,null,Life saving appliances,11117,Lifebuoys incl. provision and disposition,null,16,2024PSC282,null,null,null,null,null,Sivakumar Natarajan ,Anurag Tripathi,01-05-25,Ocean GLSR,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Malta,ASKA Marine Limited,null,SMPL
2025-04-29T12:08:58.969Z,null,null,null,null,null,Tokyo MoU,null,Japan,null,null,1,null,null,null,9912438,null,06-06-24,PSC ,Inamitsu Yutaka,Vikram Viswanathan,Jayeshlal ,null,Crew unable to assemble portable foam applicator in the E\R,Wisdom Marine Group,Q2 - 2024,Hibiki-nada,null,Fire safety,7123,Operation of Fire protection systems,null,17,2024PSC249,null,null,null,null,null,Vinod Mittal,Shasank Bani,01-05-25,Bunun Queen,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Liberia,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.862Z,null,null,null,null,null,Black sea MOU,null,Russia,null,null,1,null,null,null,9472098,null,27-04-24,PSC ,null,Gurusher Bahadur Singh,Vikram Krishnan,null,Main magnetic compass big air inside,null,Q2 - 2024,Novorossiysk,null,Safety of Navigation,10105,Magnetic compass,null,17,2024PSC181,null,null,null,null,null,Sivakumar Natarajan ,Dhanraj Kumar,02-12-24,Mesk,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Marshall Islands,Mid Star Shipping,null,SMPL
2025-04-29T12:08:58.717Z,null,null,null,null,null,Paris MOU,null,Spain,null,null,1,null,null,null,9710804,null,05-02-24,PSC ,null,null,null,null,"ISM: Safety management audit by the Administration is required before departure of the ship. Deficiency(s)
marked ISM is (are) objective evidence of a serious failure, or lack of effectiveness, of implementation of the
ISM Code.",PT Pertamina Shipping Limited ,Q1 - 2024,Algeciras,null,ISM,15150,ISM,null,30,2024PSC180,null,null,null,null,null,null,null,01-05-25,Gas Ambalat,LPG Carrier,Zhoushan COSCO Shipyard Co.,null,11.9,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:08:58.968Z,null,null,null,null,null,Paris MoU,null,Spain,null,0,0,null,null,null,9426764,null,04-06-24,PSC ,F. Canpo,Vikram Viswanathan,Jayeshlal ,null,Nil Findings,Wisdom Marine Group,Q2 - 2024,Santander,null,,null,,Wisdom Marine Lines SA,null,2024PSC246,null,null,null,null,null,Vinod Mittal,Anbuselvan Thangavel,01-05-25,Amis Wisdom I,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.964Z,null,null,null,null,null,Paris MOU,null,Netherlands,null,0,0,null,null,null,9511947,null,21-05-24,PSC ,"Jack Waesberghe
Niek Ouwenijk",Vikram Viswanathan,Jayeshlal,null,Nil Findings,null,Q2 - 2024,Rotterdam,null,,null,,null,null,2024PSC218,null,null,null,null,null,Vinod Mittal,Gaurav singh Rajput,01-05-25,Frontier Bonanza,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.962Z,Active,null,null,null,null,Vina del Mar,null,Argentina,null,0,0,null,null,null,9633965,G,03-05-24,PSC,Ramon Castillo,Chetan Sharma,Parthiban Sammandan,Indian ,Nil Findings,NISSEN Kaiun KK,Q2 - 2024,Buenos Aires,null,,null,,Sun Lines Shipping S.A.,null,2024PSC210,null,null,null,null,null,Daniel Christopher,Senthilvelan J,29-04-25,Cap San Tainaro,Container,Hyundai Heavy Industries Co. Ltd.,null,11.37,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMPL
2025-04-29T12:08:58.648Z,null,null,null,null,null,Tokyo MoU,null,China,null,null,1,null,null,null,9580314,null,22-02-24,PSC ,Jiang Hongjun,null,null,null,Self closed fire door of E/R emergency escape tunnel bottom floor deformed and can not close fully,Wisdom Marine Group,Q1 - 2024,Shanghai,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,null,17,2024PSC073,null,null,null,null,null,null,null,01-05-25,Poavosa Wisdom III,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:57.814Z,null,null,null,null,null,Paris MOU,null,Sweden,null,null,1,null,null,null,9710804,null,26-10-23,PSC ,C. Lofstedt,Anurag Gupta,Zahir Husain Basha,null,Visual alarm indication for high level was blocked a homemade bucket,PT Pertamina Shipping Limited ,Q4 - 2023,Karlshamn,null,Other,99101,Other safety in general,,17,2023PSC401,null,null,null,null,null,Prasanth Arun Ghodke,Parthasarathy Mani,01-05-25,Gas Ambalat,LPG Carrier,Zhoushan COSCO Shipyard Co.,null,11.9,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:08:57.826Z,null,null,null,null,null,Paris MOU,null,Sweden,null,null,1,null,null,null,9710804,null,26-10-23,PSC ,C. Lofstedt,Anurag Gupta,Zahir Husain Basha,null,Lifebouys with lights. Lights not working,PT Pertamina Shipping Limited ,Q4 - 2023,Karlshamn,null,Life saving appliances,11117,Lifebuoys incl. provision and disposition,,17,2023PSC401,null,null,null,null,null,Prasanth Arun Ghodke,Parthasarathy Mani,01-05-25,Gas Ambalat,LPG Carrier,Zhoushan COSCO Shipyard Co.,null,11.9,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:08:57.413Z,,null,null,null,null,Tokyo MoU,null,New Zealand,null,null,1,null,null,null,9554169,,20-09-23,PSC ,Greg Ba Llie,Vikram Viswanathan,Parthiban Sammandan,null,Fire drill - lack of training in use of BA set and Neil Robinson stretcher,Wisdom Marine Group,Q3 - 2023,Napier,null,Fire safety,7125,Evaluation of crew performance (fire drills),,17,2023PSC322,null,null,null,null,null,null,Prabodh,01-05-25,Global Faith,Bulk Carrier,Zhoushan COSCO Shipyard Co.,null,7.3,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.352Z,Active,null,null,null,null,Tokyo MoU,null,Indonesia,null,0,0,null,null,null,9829629,G,19-01-24,PSC,null,Harris Surendar Moses,Shriram Narayanan,null,Nil Findings,"Nera Shipping Co., Limited",Q1 - 2024,Cilacap,null,,null,,Nera Shipping S.A,null,2024PSC022,null,null,null,null,null,Rajendran Sivakumar,Madhu Nadilla,01-05-25,Dijilah,Tanker,Samsung Heavy Industries,null,6.29,null,null,null,Wet,Tanker,Marshall Islands,VS Tankers,null,SMPL
2025-04-29T12:08:57.615Z,null,null,null,null,null,Tokyo MoU,null,Australia,null,2,1,null,null,null,9692741,null,10-10-23,PSC,Palayil Ajay Kumar,null,null,null,International Code of signal not available on board,Oceanlance Maritime Co Ltd,Q4 - 2023,Darwin,null,Radio communications,5199,Other (radiocommunication),,16,2023PSC357,null,null,null,null,null,null,null,01-05-25,Coresky OL,Bulk Carrier,Zhoushan COSCO Shipyard Co.,null,10.15,null,null,null,Dry,Bulk Carrier,Panama,Oceanlance Maritime Co Ltd,null,SMPL
2025-04-29T12:08:54.979Z,Active,null,null,null,null,Paris MOU,null,Italy,null,null,1,null,null,null,9428334,J,11-03-22,PSC,Trovato salvatore,Kunal Mohindra,Ankush Suri,Indian,"Two life buoys in both sides, not properly maintained.",Gy Shipco,Q1 - 2022,Milazzo,null,Life saving appliances,11135,Maintenance of Life Saving Appliances,GY Shipco XII LLC,16,2022PSC067,null,null,null,null,null,Anupam Ghosh,Rohit Kumar Gupta,14-03-24,GH Parks,Tanker,SSP Shipbuilding Co Ltd,null,16.25,null,null,null,Wet,Tanker,Marshall Islands,GH Management,null,SMPL
2025-04-29T12:08:56.129Z,null,null,null,null,null,Paris MOU,null,Belgium,null,null,1,null,null,null,9633941,,01-12-22,PSC,Alexis JOUKES,Geraldraj Sahaya Arputharaj,Pramod V,Indian ,The 3 fire dampers on forward starboard of accommodation were stuck and could not be closed.,NISSEN Kaiun KK,Q4 - 2022,Antwerp (Antwerpen),null,Fire safety,7115,Fire-dampers,Green Spanker Shipping S.A.,17,2022PSC343,null,null,null,null,null,Daniel christopher,Anwar Shanavaz,01-05-25,Cap San Maleas,Container,Hyundai Heavy Industries Co Ltd,null,10.99,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMPL
